Id,Code,Description,Service,Workset,Wall,Structural,Bearing
23191781,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BD,No,Non-bearing
23191783,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BD,No,Non-bearing
23192412,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BD,No,Non-bearing
23195521,GF.WL.401,PRECAST,Piping,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_200_M1CB,No,Non-bearing
23195674,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
23197824,,PLASTBOARD,Piping,BIMMS_OPEs_Precst,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
23197849,,PLASTBOARD,Piping,BIMMS_OPEs_Precst,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
23197850,,PLASTBOARD,Piping,BIMMS_OPEs_Precst,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
23197914,,PLASTBOARD,Piping,BIMMS_OPEs_Precst,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
23201655,GF.WL.313,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100-NN-bulkhead_S4AC,No,Non-bearing
23204710,GF.WL.315,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100-NN-bulkhead_S4AC,No,Non-bearing
23205183,GF.WL.318,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100-NN-bulkhead_S4AC,No,Non-bearing
23205773,GF.WL.336,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BB,No,Non-bearing
23206995,GF.WL.213,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_reinforced_S4BE,No,Non-bearing
23208231,GF.WL.231,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BF,No,Non-bearing
23208251,GF.WL.232,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BF,No,Non-bearing
23208595,GF.WL.242,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4CA,No,Non-bearing
23208633,GF.WL.241,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4CA,No,Non-bearing
23208667,GF.WL.249,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
23208746,GF.WL.260,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
23208794,GF.WL.248,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
23209283,GF.WL.264,Gypsum Board,Plumbing Water,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
23209508,,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
23209678,GF.WL.276,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BF,No,Non-bearing
23209897,GF.WL.293,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BA,No,Non-bearing
23210037,GF.WL.205,Gypsum Board,Drainage Condensate,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BA,No,Non-bearing
23211330,GF.WL.190,Gypsum Board,Drainage Condensate,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BB,No,Non-bearing
